Name,Partei,Ort,Link,ID Politiker,Bezirk,Fraktion
Strub Gérald,FDP,Boniswil,https://www.ag.ch/grossrat/grweb/de/185/Detail%20Adresse?AdrId=107569,107569,Bezirk Lenzburg,FDP
Stutz Désirée,SVP,Möhlin,https://www.ag.ch/grossrat/grweb/de/185/Detail%20Adresse?AdrId=111038,111038,Bezirk Rheinfelden,SVP/EDU
Suter Emanuel,SVP,Gipf-Oberfrick,https://www.ag.ch/grossrat/grweb/de/185/Detail%20Adresse?AdrId=4887898,4887898,Bezirk Laufenburg,SVP/EDU
Syed Rahela,SP,Zofingen,https://www.ag.ch/grossrat/grweb/de/185/Detail%20Adresse?AdrId=116948,116948,Bezirk Zofingen,SP
Tüscher Bruno,FDP,Münchwilen,https://www.ag.ch/grossrat/grweb/de/185/Detail%20Adresse?AdrId=4520943,4520943,Bezirk Laufenburg,FDP
Urech Daniel,SVP,Sins,https://www.ag.ch/grossrat/grweb/de/185/Detail%20Adresse?AdrId=118346,118346,Bezirk Muri,SVP/EDU
Vogel Brigitte,SVP,Lenzburg,https://www.ag.ch/grossrat/grweb/de/185/Detail%20Adresse?AdrId=4887899,4887899,Bezirk Lenzburg,SVP/EDU
Vogt Roland,SVP,Wohlen,https://www.ag.ch/grossrat/grweb/de/185/Detail%20Adresse?AdrId=117811,117811,Bezirk Bremgarten,SVP/EDU
von Planta Gian,GLP,Baden,https://www.ag.ch/grossrat/grweb/de/185/Detail%20Adresse?AdrId=4169413,4169413,Bezirk Baden,GLP
Walser Rolf,SP,Aarburg,https://www.ag.ch/grossrat/grweb/de/185/Detail%20Adresse?AdrId=4517811,4517811,Bezirk Zofingen,SP
Wehrli Daniel,SVP,Küttigen,https://www.ag.ch/grossrat/grweb/de/185/Detail%20Adresse?AdrId=87823,87823,Bezirk Aarau,SVP/EDU
Wernli Martin,SVP,Thalheim,https://www.ag.ch/grossrat/grweb/de/185/Detail%20Adresse?AdrId=99561,99561,Bezirk Brugg,SVP/EDU
Wetzel Michael,Die Mitte,Ennetbaden,https://www.ag.ch/grossrat/grweb/de/185/Detail%20Adresse?AdrId=107573,107573,Bezirk Baden,Die Mitte
Winzenried Urs,SVP,Aarau,https://www.ag.ch/grossrat/grweb/de/185/Detail%20Adresse?AdrId=4887900,4887900,Bezirk Aarau,SVP/EDU
